Filename,Sign
road0.png,trafficlight
road1.png,trafficlight
road2.png,trafficlight
road3.png,trafficlight
road4_1.png,trafficlight
road4_2.png,trafficlight
road4_3.png,trafficlight
road5.png,trafficlight
road6.png,trafficlight
road7.png,trafficlight
road8_1.png,trafficlight
road8_2.png,trafficlight
road9.png,trafficlight
road10.png,trafficlight
road11_1.png,trafficlight
road11_2.png,trafficlight
road12_1.png,trafficlight
road12_2.png,trafficlight
road13.png,trafficlight
road14.png,trafficlight
road15.png,trafficlight
road16_1.png,trafficlight
road16_2.png,trafficlight
road17.png,trafficlight
road18.png,trafficlight
road19.png,trafficlight
road20.png,trafficlight
road21_1.png,trafficlight
road21_2.png,trafficlight
road21_3.png,trafficlight
road21_4.png,trafficlight
road21_5.png,trafficlight
road22_1.png,trafficlight
road22_2.png,trafficlight
road22_3.png,stop
road23.png,trafficlight
road24.png,trafficlight
road25_1.png,trafficlight
road25_2.png,trafficlight
road25_3.png,trafficlight
road26_1.png,trafficlight
road26_2.png,trafficlight
road27_1.png,trafficlight
road27_2.png,trafficlight
road28_1.png,trafficlight
road28_2.png,trafficlight
road28_3.png,trafficlight
road29_1.png,trafficlight
road29_2.png,trafficlight
road30.png,trafficlight
road31_1.png,trafficlight
road31_2.png,trafficlight
road32.png,trafficlight
road33.png,trafficlight
road34.png,trafficlight
road35.png,trafficlight
road36_1.png,trafficlight
road36_2.png,trafficlight
road36_3.png,trafficlight
road37.png,trafficlight
road38_1.png,trafficlight
road38_2.png,trafficlight
road39.png,trafficlight
road40_1.png,trafficlight
road40_2.png,trafficlight
road40_3.png,trafficlight
road41_1.png,trafficlight
road41_2.png,trafficlight
road42_1.png,trafficlight
road42_2.png,trafficlight
road43_1.png,trafficlight
road43_2.png,trafficlight
road43_3.png,trafficlight
road43_4.png,trafficlight
road43_5.png,trafficlight
road44_1.png,trafficlight
road44_2.png,trafficlight
road45.png,trafficlight
road46.png,trafficlight
road47.png,trafficlight
road48_1.png,trafficlight
road48_2.png,trafficlight
road49_1.png,trafficlight
road49_2.png,trafficlight
road50.png,trafficlight
road51.png,trafficlight
road52.png,stop
road53.png,stop
road54.png,stop
road55.png,stop
road56.png,stop
road57.png,stop
road58.png,stop
road59.png,stop
road60.png,stop
road61.png,stop
road62.png,stop
road63.png,stop
road64.png,stop
road65.png,stop
road66.png,stop
road67.png,stop
road68.png,stop
road69.png,stop
road70.png,stop
road71.png,stop
road72.png,stop
road73_1.png,stop
road73_2.png,trafficlight
road74.png,stop
road75.png,stop
road76.png,stop
road77.png,stop
road78.png,stop
road79.png,stop
road80.png,stop
road81.png,stop
road82.png,stop
road83.png,stop
road84.png,stop
road85.png,stop
road86.png,stop
road87.png,stop
road88.png,stop
road89.png,stop
road90.png,stop
road91.png,stop
road92.png,stop
road93.png,stop
road94.png,stop
road95.png,stop
road96.png,stop
road97.png,stop
road98.png,stop
road99.png,stop
road100.png,speedlimit
road101.png,speedlimit
road102.png,speedlimit
road103.png,speedlimit
road104.png,speedlimit
road105.png,speedlimit
road106.png,speedlimit
road107.png,speedlimit
road108.png,speedlimit
road109.png,speedlimit
road110.png,speedlimit
road111.png,speedlimit
road112.png,speedlimit
road113.png,speedlimit
road114.png,speedlimit
road115.png,speedlimit
road116.png,speedlimit
road117.png,speedlimit
road118.png,speedlimit
road119.png,speedlimit
road120.png,speedlimit
road121.png,speedlimit
road122.png,crosswalk
road123.png,crosswalk
road124_1.png,crosswalk
road124_2.png,trafficlight
road124_3.png,trafficlight
road124_4.png,trafficlight
road125.png,crosswalk
road126.png,crosswalk
road127_1.png,crosswalk
road127_2.png,trafficlight
road127_3.png,trafficlight
road128.png,crosswalk
road129_1.png,crosswalk
road129_2.png,trafficlight
road130_1.png,crosswalk
road130_2.png,crosswalk
road131_1.png,crosswalk
road131_2.png,crosswalk
road131_3.png,trafficlight
road132.png,crosswalk
road133.png,crosswalk
road134.png,crosswalk
road135.png,crosswalk
road136_1.png,crosswalk
road136_2.png,trafficlight
road137.png,crosswalk
road138.png,crosswalk
road139.png,crosswalk
road140.png,crosswalk
road141.png,crosswalk
road142.png,crosswalk
road143.png,crosswalk
road144.png,crosswalk
road145.png,crosswalk
road146.png,crosswalk
road147.png,crosswalk
road148.png,crosswalk
road149.png,crosswalk
road150.png,crosswalk
road151.png,crosswalk
road152.png,crosswalk
road153.png,crosswalk
road154_1.png,crosswalk
road154_2.png,crosswalk
road155.png,crosswalk
road156_1.png,crosswalk
road156_2.png,trafficlight
road157.png,speedlimit
road158.png,crosswalk
road159.png,speedlimit
road160_1.png,crosswalk
road160_2.png,crosswalk
road160_3.png,stop
road161.png,speedlimit
road162.png,speedlimit
road163.png,speedlimit
road164.png,trafficlight
road165.png,crosswalk
road166.png,crosswalk
road167_1.png,crosswalk
road167_2.png,stop
road168.png,crosswalk
road169.png,speedlimit
road170_1.png,crosswalk
road170_2.png,trafficlight
road170_3.png,trafficlight
road170_4.png,crosswalk
road171.png,crosswalk
road172.png,speedlimit
